#Benchmark1, Benchmark2, dtlb, itlb, bra_miss, l1_hit, l2_hit, l3_hit, mem_hit, cycles, instructions, dtlb, itlb, bra_miss, l1_hit, l2_hit, l3_hit, mem_hit, cycles, instructions, cpi_smt, cpi_cmp, cpi_ratio
gromacs	perlbench	1.80988e+07	407622	3.10372e+09	6.00449e+11	1.11585e+10	2.40762e+09	2.86718e+07	1.17174e+12	1.9619e+12	5.29888e+08	1.87457e+07	5.93754e+09	5.69363e+11	4.77077e+09	1.18315e+09	5.80964e+08	1.06775e+12	2.10836e+12	0.842773	0.600628	1.40315
perlbench	cactusADM	5.29888e+08	1.87457e+07	5.93754e+09	5.69363e+11	4.77077e+09	1.18315e+09	5.80964e+08	1.06775e+12	2.10836e+12	2.62557e+10	224551	3.78447e+07	1.33901e+12	8.94048e+09	4.28329e+09	3.68823e+09	2.40219e+12	2.71705e+12	0.79237	0.546227	1.45062
cactusADM	perlbench	2.62557e+10	224551	3.78447e+07	1.33901e+12	8.94048e+09	4.28329e+09	3.68823e+09	2.40219e+12	2.71705e+12	5.29888e+08	1.87457e+07	5.93754e+09	5.69363e+11	4.77077e+09	1.18315e+09	5.80964e+08	1.06775e+12	2.10836e+12	1.37248	0.906137	1.51465
perlbench	leslie3d	5.29888e+08	1.87457e+07	5.93754e+09	5.69363e+11	4.77077e+09	1.18315e+09	5.80964e+08	1.06775e+12	2.10836e+12	5.15579e+08	391587	9.94572e+08	5.25014e+11	6.80391e+09	1.80843e+09	3.00811e+09	1.06965e+12	1.53442e+12	0.844292	0.582971	1.44826
leslie3d	perlbench	5.15579e+08	391587	9.94572e+08	5.25014e+11	6.80391e+09	1.80843e+09	3.00811e+09	1.06965e+12	1.53442e+12	5.29888e+08	1.87457e+07	5.93754e+09	5.69363e+11	4.77077e+09	1.18315e+09	5.80964e+08	1.06775e+12	2.10836e+12	0.927402	0.733793	1.26385
perlbench	namd	5.29888e+08	1.87457e+07	5.93754e+09	5.69363e+11	4.77077e+09	1.18315e+09	5.80964e+08	1.06775e+12	2.10836e+12	5.99058e+06	118562	3.91623e+09	4.95106e+11	1.00184e+10	1.51996e+08	3.12843e+07	1.24627e+12	2.27798e+12	0.813708	0.524388	1.55173
namd	perlbench	5.99058e+06	118562	3.91623e+09	4.95106e+11	1.00184e+10	1.51996e+08	3.12843e+07	1.24627e+12	2.27798e+12	5.29888e+08	1.87457e+07	5.93754e+09	5.69363e+11	4.77077e+09	1.18315e+09	5.80964e+08	1.06775e+12	2.10836e+12	0.744624	0.547956	1.35891
perlbench	gobmk	5.29888e+08	1.87457e+07	5.93754e+09	5.69363e+11	4.77077e+09	1.18315e+09	5.80964e+08	1.06775e+12	2.10836e+12	2.96978e+08	3.88407e+06	2.32304e+10	4.20931e+11	2.24691e+09	7.41168e+08	3.56863e+08	1.41703e+12	1.72481e+12	0.879938	0.531545	1.65543
gobmk	perlbench	2.96978e+08	3.88407e+06	2.32304e+10	4.20931e+11	2.24691e+09	7.41168e+08	3.56863e+08	1.41703e+12	1.72481e+12	5.29888e+08	1.87457e+07	5.93754e+09	5.69363e+11	4.77077e+09	1.18315e+09	5.80964e+08	1.06775e+12	2.10836e+12	1.19386	0.83513	1.42955
perlbench	dealII	5.29888e+08	1.87457e+07	5.93754e+09	5.69363e+11	4.77077e+09	1.18315e+09	5.80964e+08	1.06775e+12	2.10836e+12	4.81885e+08	3.42991e+06	3.68306e+09	6.1468e+11	4.26099e+09	1.72674e+10	1.09738e+09	9.9678e+11	1.99334e+12	0.821942	0.53763	1.52882
